Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
F2	scrambled_miRNA	mix17AA	ath827	1	2	5	0.3476
F3	N.A.	mix17AA	N.A.	1	N.A.	5	0.1086
F4	plant_miRNA	mix17AA	aof159	2	2	5	0.3405
F5	scrambled_miRNA	mix17AA	ath158b	2	2	5	0.3258
F6	scrambled_miRNA	mix17AA	ath158a3p	3	2	5	0.3325
F7	plant_miRNA	mix17AA	ath158b	3	2	5	0.3279
F8	N.A.	mix17AA	N.A.	4	N.A.	5	0.1074
F9	plant_miRNA	mix17AA	ath5642b	4	2	5	0.2958
F10	scrambled_miRNA	mix17AA	aof159	5	2	5	0.3174
F11	plant_miRNA	mix17AA	ath827	5	2	5	0.3225
G2	plant_miRNA	mix17AA	ath827	1	2	5	0.3508
G3	N.A.	mix17AA	N.A.	1	N.A.	5	0.1353
G4	scrambled_miRNA	mix17AA	aof159	2	2	5	0.3305
G5	plant_miRNA	mix17AA	ath158b	2	2	5	0.333
G6	plant_miRNA	mix17AA	ath158a3p	3	2	5	0.333
G7	scrambled_miRNA	mix17AA	ath158b	3	2	5	0.3351
G8	N.A.	mix17AA	N.A.	4	N.A.	5	0.0889
G9	scrambled_miRNA	mix17AA	ath5642b	4	2	5	0.2986
G10	plant_miRNA	mix17AA	aof159	5	2	5	0.3265
G11	scrambled_miRNA	mix17AA	ath827	5	2	5	0.3301
B2	scrambled_miRNA	mix17AA	aof159	1	2	6	0.5
B3	plant_miRNA	mix17AA	ath5642b	1	2	6	0.4844
B4	N.A.	mix17AA	N.A.	2	N.A.	6	0.0844
B5	plant_miRNA	mix17AA	ath158a3p	2	2	6	0.4859
B6	plant_miRNA	mix17AA	ath827	3	2	6	0.5049
B7	plant_miRNA	mix17AA	aof159	3	2	6	0.5019
B8	scrambled_miRNA	mix17AA	ath158a3p	4	2	6	0.4394
B9	scrambled_miRNA	mix17AA	ath827	4	2	6	0.4376
B10	scrambled_miRNA	mix17AA	ath5642b	5	2	6	0.4667
B11	plant_miRNA	mix17AA	ath158b	5	2	6	0.4634
C2	plant_miRNA	mix17AA	aof159	1	2	6	0.5122
C3	scrambled_miRNA	mix17AA	ath5642b	1	2	6	0.4897
C4	N.A.	mix17AA	N.A.	2	N.A.	6	0.0886
C5	scrambled_miRNA	mix17AA	ath158a3p	2	2	6	0.472
C6	scrambled_miRNA	mix17AA	ath827	3	2	6	0.4923
C7	scrambled_miRNA	mix17AA	aof159	3	2	6	0.4665
C8	plant_miRNA	mix17AA	ath158a3p	4	2	6	0.4423
C9	plant_miRNA	mix17AA	ath827	4	2	6	0.4352
C10	plant_miRNA	mix17AA	ath5642b	5	2	6	0.4609
C11	scrambled_miRNA	mix17AA	ath158b	5	2	6	0.4728
D2	scrambled_miRNA	mix17AA	ath158a3p	1	2	6	0.508
D3	plant_miRNA	mix17AA	ath158b	1	2	6	0.4929
D4	scrambled_miRNA	mix17AA	ath5642b	2	2	6	0.4676
D5	plant_miRNA	mix17AA	ath827	2	2	6	0.4845
D6	N.A.	mix17AA	N.A.	3	N.A.	6	0.1009
D7	plant_miRNA	mix17AA	ath5642b	3	2	6	0.4718
D8	plant_miRNA	mix17AA	aof159	4	2	6	0.4576
D9	scrambled_miRNA	mix17AA	ath158b	4	2	6	0.4281
D10	plant_miRNA	mix17AA	ath158a3p	5	2	6	0.4566
D11	N.A.	mix17AA	N.A.	5	N.A.	6	0.0869
E2	plant_miRNA	mix17AA	ath158a3p	1	2	6	0.5041
E3	scrambled_miRNA	mix17AA	ath158b	1	2	6	0.4974
E4	plant_miRNA	mix17AA	ath5642b	2	2	6	0.4829
E5	scrambled_miRNA	mix17AA	ath827	2	2	6	0.4734
E6	N.A.	mix17AA	N.A.	3	N.A.	6	0.0857
E7	scrambled_miRNA	mix17AA	ath5642b	3	2	6	0.4788
E8	scrambled_miRNA	mix17AA	aof159	4	2	6	0.4384
E9	plant_miRNA	mix17AA	ath158b	4	2	6	0.4392
E10	scrambled_miRNA	mix17AA	ath158a3p	5	2	6	0.4507
E11	N.A.	mix17AA	N.A.	5	N.A.	6	0.09
F2	scrambled_miRNA	mix17AA	ath827	1	2	6	0.4979
F3	N.A.	mix17AA	N.A.	1	N.A.	6	0.0939
F4	plant_miRNA	mix17AA	aof159	2	2	6	0.4976
F5	scrambled_miRNA	mix17AA	ath158b	2	2	6	0.4716
