Well_ID	Treatment	N_source	miRNA	Pair	Dose(uM)	Time	OD_600
D12	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	3	0.0882
E1	N.A.	L-Lysine	N.A.	N.A.	N.A.	3	0.0832
E2	scrambled_miRNA	L-Methionine	mix_5	1	10	3	0.1002
E3	scrambled_miRNA	Glycine	mix_5	1	10	3	0.0946
E4	scrambled_miRNA	L-Proline	mix_5	2	10	3	0.0984
E5	plant_miRNA	L-Methionine	mix_5	2	10	3	0.1007
E6	plant_miRNA	L-Isoleucine	mix_5	3	10	3	0.0993
E7	scrambled_miRNA	L-Tryptophan	mix_5	3	10	3	0.1082
E8	plant_miRNA	L-Lysine	mix_5	4	10	3	0.1004
E9	scrambled_miRNA	L-Isoleucine	mix_5	4	10	3	0.1059
E10	plant_miRNA	Glycine	mix_5	5	10	3	0.0989
E11	plant_miRNA	L-Proline	mix_5	5	10	3	0.0978
E12	N.A.	L-Proline	N.A.	N.A.	N.A.	3	0.0887
F1	N.A.	L-Proline	N.A.	N.A.	N.A.	3	0.0851
F2	scrambled_miRNA	L-Proline	mix_5	1	10	3	0.1069
F3	plant_miRNA	L-Lysine	mix_5	1	10	3	0.0975
F4	plant_miRNA	L-Isoleucine	mix_5	2	10	3	0.1106
F5	plant_miRNA	L-Tryptophan	mix_5	2	10	3	0.1028
F6	scrambled_miRNA	L-Lysine	mix_5	3	10	3	0.0954
F7	plant_miRNA	L-Proline	mix_5	3	10	3	0.0964
F8	scrambled_miRNA	Glycine	mix_5	4	10	3	0.1063
F9	plant_miRNA	L-Methionine	mix_5	4	10	3	0.1047
F10	scrambled_miRNA	L-Methionine	mix_5	5	10	3	0.1005
F11	scrambled_miRNA	L-Tryptophan	mix_5	5	10	3	0.1022
F12	N.A.	L-Methionine	N.A.	N.A.	N.A.	3	0.0868
G1	N.A.	Glycine	N.A.	N.A.	N.A.	3	0.0857
G2	plant_miRNA	L-Proline	mix_5	1	10	3	0.1058
G3	scrambled_miRNA	L-Lysine	mix_5	1	10	3	0.1021
G4	scrambled_miRNA	L-Isoleucine	mix_5	2	10	3	0.1085
G5	scrambled_miRNA	L-Tryptophan	mix_5	2	10	3	0.1026
G6	plant_miRNA	L-Lysine	mix_5	3	10	3	0.1001
G7	scrambled_miRNA	L-Proline	mix_5	3	10	3	0.1005
G8	plant_miRNA	Glycine	mix_5	4	10	3	0.0959
G9	scrambled_miRNA	L-Methionine	mix_5	4	10	3	0.098
G10	plant_miRNA	L-Methionine	mix_5	5	10	3	0.1022
G11	plant_miRNA	L-Tryptophan	mix_5	5	10	3	0.1036
G12	N.A.	L-Lysine	N.A.	N.A.	N.A.	3	0.0836
H4	N.A.	L-Methionine	N.A.	N.A.	N.A.	3	0.0888
H5	N.A.	L-Isoleucine	N.A.	N.A.	N.A.	3	0.0876
H6	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	3	0.0924
H7	N.A.	Glycine	N.A.	N.A.	N.A.	3	0.0894
H9	N.A.	L-Lysine	N.A.	N.A.	N.A.	3	0.0951
H11	N.A.	L-Proline	N.A.	N.A.	N.A.	3	0.0892
A4	N.A.	L-Lysine	N.A.	N.A.	N.A.	4	0.0788
A5	N.A.	L-Tryptophan	N.A.	N.A.	N.A.	4	0.082
